City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,ulsteinvik,62.3432,5.8487,8.5,88,100,7.6,NO,1712992261
159,labrador city,52.9463,-66.9114,5.1,88,100,1.79,CA,1712992261
160,santo antonio,-6.3106,-35.4789,23.4,97,13,2.32,BR,1712992262
161,gostynin,52.4294,19.4619,15.37,75,96,5.92,PL,1712992262
162,ancud,-41.8697,-73.8203,9.33,81,0,3.39,CL,1712992262
163,flying fish cove,-10.4217,105.6791,29.82,74,40,5.66,CX,1712992263
164,san matias,-16.3667,-58.4,23.75,92,98,0.59,BO,1712992263
165,tarawa,1.419,172.984,28.05,83,40,0.51,KI,1712992263
166,praia da vitoria,38.7333,-27.0667,16.53,94,100,8.21,PT,1712992263
167,dwarka,22.2394,68.9678,28.28,71,9,4.54,IN,1712992264
168,touros,-5.1989,-35.4608,25.5,91,27,2.87,BR,1712992264
169,north ward,-19.2454,146.8075,27.95,65,100,6.17,AU,1712992265
170,loanda,-8.8368,13.2343,25.71,83,100,2.25,AO,1712992133
171,ardakan,32.31,54.0175,17.09,39,49,6.02,IR,1712992265
172,spring creek,40.7266,-115.5859,10.72,35,46,2.81,US,1712992265
173,chokwe,-24.5333,32.9833,22.79,69,100,0.98,MZ,1712992266
174,nova vicosa,-17.8919,-39.3719,24.75,87,25,3.77,BR,1712992266
175,ciudad lazaro cardenas,17.9583,-102.2,24.77,84,100,0.18,MX,1712992267
176,banket,-17.3833,30.4,18.32,73,100,3.62,ZW,1712992267
177,springbok,-29.6643,17.8865,20.62,27,91,1.88,ZA,1712992268
178,srivardhan,18.0333,73.0167,30.21,49,6,5.3,IN,1712992268
179,fisterra,42.9049,-9.2629,15.47,79,84,2.56,ES,1712992268
180,gargalianoi,37.0667,21.6333,23.34,52,0,4.61,GR,1712992268
181,san jose del guaviare,2.5729,-72.6459,24.22,85,88,0.87,CO,1712992269
182,mount isa,-20.7333,139.5,30.87,25,0,4.12,AU,1712992269
183,punta arenas,-53.15,-70.9167,5.06,93,0,3.09,CL,1712992270
184,kodiak,57.79,-152.4072,0.73,55,100,6.69,US,1712992270
185,papatowai,-46.5619,169.4708,9.34,77,77,1.84,NZ,1712992270
186,pakxan,18.3778,103.6601,41.07,23,24,2.81,LA,1712992270
187,bazas,44.432,-0.2133,14.23,72,68,1.25,FR,1712992271
188,mejit,10.2753,170.8646,26.58,84,100,9.17,MH,1712992271
189,saint-pierre,-21.3393,55.4781,29.82,74,0,2.57,RE,1712992205
190,hammerfest,70.6634,23.6821,3.25,81,75,2.06,NO,1712992271
191,ashland,40.8167,-82.2665,7.98,89,81,8.13,US,1712992272
192,sisimiut,66.9395,-53.6735,-7.42,91,100,4.26,GL,1712992272
193,puerto lempira,15.2667,-83.7667,25.14,88,7,3.33,HN,1712992273
194,cerda,37.9059,13.8144,22.56,57,0,1.56,IT,1712992273
195,lucknow,26.85,80.9167,33.99,31,28,2.06,IN,1712991885
196,kasugai,35.2476,136.9723,22.72,52,100,3.23,JP,1712992274
197,kilindoni,-7.9139,39.6668,27.63,83,100,6.98,TZ,1712992222
198,as sulayyil,20.4607,45.5779,29.14,32,100,5.12,SA,1712992275
199,west island,-12.1568,96.8225,30.99,70,40,6.69,CC,1712992276
200,dingli,35.8614,14.3822,17.09,82,0,6.69,MT,1712992276
201,kromy,52.6876,35.7667,12.58,74,100,3.33,RU,1712992276
202,berbera,10.4396,45.0143,31.93,61,100,3.23,SO,1712992277
203,hangu,39.2489,117.7892,27.02,55,12,6.35,CN,1712992277
204,enewetak,11.3474,162.3373,27.2,77,22,7.53,MH,1712992277
205,san carlos de bariloche,-41.1456,-71.3082,7.86,81,75,4.63,AR,1712992104
206,bechar,31.6167,-2.2167,12.0,53,0,7.26,DZ,1712992278
207,akureyri,65.6835,-18.0878,-9.89,96,99,1.52,IS,1712992278
208,lodja,-3.4833,23.4333,21.63,100,100,0.23,CD,1712992279
209,nemuro,43.3236,145.575,5.35,90,46,4.46,JP,1712992252
210,kingston,17.997,-76.7936,22.34,79,3,1.86,JM,1712992198
211,luanda,-8.8368,13.2343,25.71,83,100,2.25,AO,1712992174
212,vershino-darasunskiy,52.35,115.5167,10.48,38,100,2.81,RU,1712992280
213,harper,4.375,-7.7169,27.35,84,23,1.33,LR,1712992281
214,bilibino,68.0546,166.4372,-16.65,94,100,2.6,RU,1712992281
215,gao,16.6362,1.637,25.0,11,100,8.07,ML,1712992281
216,fort bragg,35.139,-79.006,11.91,67,0,5.66,US,1712992282
217,serhetabat,35.2799,62.3438,13.79,74,100,2.35,TM,1712992282
218,suomussalmi,64.8869,28.9078,2.63,99,98,4.24,FI,1712992282
219,connellsville,40.0178,-79.5895,8.62,74,100,1.34,US,1712992283
220,tara,56.8944,74.371,9.29,80,57,4.65,RU,1712992283
221,notodden,59.5594,9.2585,9.18,82,15,1.69,NO,1712992283
222,bukoba,-1.3317,31.8122,22.61,83,100,2.09,TZ,1712992204
223,plouzane,48.3833,-4.6167,12.72,94,0,4.12,FR,1712992284
224,khovd,48.0056,91.6419,1.2,49,0,1.61,MN,1712992284
225,calca,-13.3333,-71.95,10.64,90,80,1.01,PE,1712992284
226,tolanaro,-25.0319,46.9987,24.2,58,23,2.9,MG,1712992284
227,raja,8.4596,25.678,31.16,12,57,3.26,SS,1712992285
228,tongouson,5.0214,120.1328,28.56,74,84,3.2,PH,1712992285
229,vila franca do campo,37.7167,-25.4333,15.23,88,100,3.67,PT,1712992285
230,boa vista,2.8197,-60.6733,26.99,69,40,7.2,BR,1712992286
231,buenaventura,3.8801,-77.0312,25.33,95,100,1.08,CO,1712992286
232,vorkuta,67.5,64.0,-11.05,96,100,2.24,RU,1712992286
233,kone,-21.0595,164.8658,24.1,84,87,2.77,NC,1712992287
234,lucas,41.6501,-83.6666,8.32,68,0,5.66,US,1712992288
235,san luis,-33.295,-66.3356,10.05,93,100,5.42,AR,1712992288
236,pansemal,21.65,74.7,34.55,34,54,3.28,IN,1712992288
237,tucuma,-0.1833,-50.05,24.69,96,100,2.25,BR,1712992289
238,taunggyi,20.7833,97.0333,32.9,18,10,5.24,MM,1712992289
239,kununurra,-15.7667,128.7333,33.99,29,92,5.14,AU,1712992290
240,barugo,11.3242,124.7383,31.55,61,98,2.71,PH,1712992290
241,santa barbara,34.7333,-120.0343,11.57,71,100,8.23,US,1712992290
242,bovalino,38.149,16.174,21.28,50,0,1.41,IT,1712992291
243,pisco,-13.7,-76.2167,20.57,88,0,5.14,PE,1712992292
244,newman,37.3138,-121.0208,14.45,83,9,1.34,US,1712992292
245,mata-utu,-13.2816,-176.1745,29.75,79,100,6.97,WF,1712992292
246,la passe,45.5549,-0.8967,18.56,83,12,2.2,FR,1712992293
247,haiku-pauwela,20.9219,-156.3051,22.9,86,0,2.57,US,1712992293
248,dalhart,36.0595,-102.5133,13.6,35,0,5.66,US,1712992294
249,butha-buthe,-28.8333,28.5,8.9,46,22,3.25,LS,1712992294
250,champerico,14.3,-91.9167,28.35,72,7,2.35,GT,1712992294
251,grand falls-windsor,48.9332,-55.6649,6.39,90,100,5.57,CA,1712992295
252,nar'yan-mar,67.6713,53.087,-16.05,92,33,6.71,RU,1712992295
253,marshall,34.3834,-86.3333,10.86,74,0,3.09,US,1712992296
254,detroit lakes,46.8172,-95.8453,5.75,75,40,1.54,US,1712992296
255,constantia,44.1833,28.65,20.39,56,50,3.28,RO,1712992121
256,hami,42.8,93.45,16.5,9,1,3.91,CN,1712992241
257,sinanpasa,38.7444,30.2428,12.06,72,89,3.13,TR,1712992297
258,uturoa,-16.7333,-151.4333,28.13,78,100,11.19,PF,1712992298
259,mwingi,-0.9344,38.0601,25.02,71,95,1.9,KE,1712992298
260,callao,-12.0667,-77.15,23.18,83,20,4.12,PE,1712992298
261,hotan,37.0997,79.9269,27.31,6,93,3.57,CN,1712992068
262,la trinite,14.7376,-60.9629,27.03,78,75,4.63,MQ,1712992299
263,usinsk,65.9939,57.5281,-11.89,84,100,7.82,RU,1712992299
264,yeniseysk,58.4497,92.1703,1.08,54,100,5.36,RU,1712992300
265,mount airy,36.4993,-80.6073,10.45,71,0,2.68,US,1712992300
266,roma,43.2128,-75.4557,6.08,87,100,6.69,US,1712992194
267,nyurba,63.2842,118.3319,-8.51,71,100,2.42,RU,1712992300
268,mantua,45.1667,10.7833,20.75,84,67,0.89,IT,1712992301
269,coscomatepec de bravo,19.0667,-97.0333,13.27,64,8,1.2,MX,1712992301
