City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,ingeniero jacobacci,-41.3427,-69.5448,4.35,85,81,3.07,AR,1712897311
290,campbell river,50.0163,-125.2446,6.44,100,100,3.09,CA,1712897105
291,sihanoukville,10.6093,103.5296,32.97,55,40,4.63,KH,1712897280
292,ad douiem,14.0012,32.3116,26.64,10,15,4.99,SD,1712897311
293,nagqu,31.5,92.0,3.51,16,100,8.9,CN,1712897296
294,abuyog,10.6667,125.05,30.61,60,84,3.23,PH,1712897312
295,amga,60.8953,131.9608,-1.82,90,100,4.78,RU,1712897312
296,fonte boa,-2.4959,-66.2662,24.45,98,100,1.2,BR,1712897312
297,n'zeto,-7.2312,12.8666,26.57,84,100,3.45,AO,1712897312
298,hastings,50.8552,0.5729,10.99,86,88,5.63,GB,1712897313
299,monteros,-27.1674,-65.4983,13.99,98,100,0.66,AR,1712897156
300,phalaborwa,-23.943,31.1411,16.01,70,46,3.12,ZA,1712897119
301,tazovsky,67.4667,78.7,-15.68,83,100,10.51,RU,1712897313
302,codrington,-38.2667,141.9667,15.79,56,100,4.53,AU,1712897314
303,labytnangi,66.6572,66.4183,-2.57,97,100,2.51,RU,1712897314
304,thinadhoo,0.5333,72.9333,28.98,72,45,1.91,MV,1712897315
305,sao joao da barra,-21.6403,-41.0511,23.97,87,26,1.42,BR,1712897179
306,zorritos,-3.6805,-80.6782,26.22,75,64,2.36,PE,1712897315
307,ma'an,26.9775,110.7211,21.59,89,98,2.04,CN,1712897315
308,uturoa,-16.7333,-151.4333,28.76,80,70,9.38,PF,1712897316
309,itanhaem,-24.1831,-46.7889,22.62,92,95,0.46,BR,1712897316
310,tofol,5.3248,163.0078,25.88,89,100,2.57,FM,1712897316
311,fort mcmurray,56.7268,-111.381,9.77,37,100,5.66,CA,1712897317
312,kadinhani,38.2397,32.2114,9.35,79,65,1.07,TR,1712897317
313,puttalam,8.0362,79.8283,32.7,57,44,4.2,LK,1712897317
314,dryden,49.7833,-92.7503,5.16,81,100,4.12,CA,1712897317
315,kotagiri,11.4333,76.8833,21.04,50,61,2.76,IN,1712897205
316,aioun,16.6614,-9.6149,30.16,14,25,5.59,MR,1712897318
317,amungan,15.3652,119.9582,30.43,64,88,4.95,PH,1712897318
